Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
7,genre,kind
8,mois,month
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
16,ville,city
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,yeux,eyes
44,écoute,listen
45,dont,whose
46,trouve,find
47,premier,first
48,perdu,lost
49,première,first
50,côté,side
51,pouvoir,power
52,vieux,old
53,sois,be
54,tiens,here
55,matin,morning
56,tellement,so much
57,enfant,child
58,point,point
60,suite,after
61,pardon,sorry
63,devant,in front of
65,minutes,minutes
66,chambre,bedroom
67,mis,placed
68,belle,beautiful
69,droit,law
70,aimerais,would like to
71,aujourd'hui,today
72,mari,husband
73,cause,cause
74,enfin,finally
76,attendez,Wait
77,parti,left
78,nouvelle,new
79,boulot,job
80,arrêter,Stop
81,dirait,would say
82,terre,Earth
83,compte,account
84,donne,given
85,loin,far
86,fin,end
87,croire,believe
88,chérie,sweetheart
89,gros,large
90,plutôt,rather
91,aura,will have
92,filles,girls
93,jouer,to play
94,bureau,office
